Date,Bay,TrapEffort,Precip,Tmin,Tmax,LunarBright
2/24/04,37,48,NA,NA,NA,0.16
2/25/04,37,48,3.6,6,16,0.24
2/26/04,37,48,47.7,2,7,0.32
2/27/04,37,48,3.1,2,5,0.41
2/28/04,37,48,0.1,0,10,0.51
2/29/04,37,48,0,1,17,0.6
3/1/04,37,48,0,9,23,0.69
3/2/04,37,48,0,10,27,0.78
3/3/04,37,48,0,13,28,0.85
3/4/04,37,48,0,16,29,0.92
3/5/04,37,48,0,12,28,0.96
3/6/04,37,48,0,17,29,0.99
3/7/04,37,48,1,13,24,1
3/8/04,37,48,0,7,27,0.98
3/9/04,37,48,0,3,20,0.94
3/10/04,37,48,3.9,6,15,0.87
3/11/04,37,48,0,2,16,0.79
3/12/04,37,48,0,7,20,0.69
3/13/04,37,48,0,5,23,0.58
3/14/04,37,48,0,8,21,0.46
3/15/04,37,48,0,15,24,0.35
3/16/04,37,48,3,12,29,0.25
3/17/04,37,48,0,8,22,0.16
3/18/04,37,48,0,6,21,0.09
3/19/04,37,48,0,11,30,0.04
3/20/04,37,48,0,12,29,0.01
3/21/04,37,48,4.4,11,26,0
3/22/04,37,48,0,-1,23,0.02
3/23/04,37,48,0,1,16,0.05
3/24/04,37,48,0,2,18,0.11
3/25/04,37,48,0,8,21,0.17
3/26/04,37,48,0,9,26,0.25
3/27/04,37,48,0,11,27,0.34
3/28/04,37,48,0,13,29,0.43
3/29/04,37,48,0,12,31,0.52
3/30/04,37,48,0.4,11,30,0.62
3/31/04,37,48,8,10,21,0.71
4/1/04,37,48,0,4,19,0.8
4/2/04,37,48,0,4,21,0.87
4/3/04,37,48,0,4,25,0.94
4/4/04,37,48,0,8,24,0.98
4/5/04,37,48,0,3,25,1
4/6/04,37,48,0,5,26,0.99
4/7/04,37,48,0,8,27,0.96
4/8/04,37,48,0,12,28,0.9
4/9/04,37,48,16,11,25,0.82
4/10/04,37,48,0.2,9,27,0.72
4/11/04,37,48,0,13,33,0.61
4/12/04,37,48,6.8,18,30,0.5
4/13/04,37,48,6.4,16,26,0.38
4/14/04,37,48,0.6,7,21,0.28
4/15/04,37,48,0,4,21,0.19
4/16/04,37,48,0,8,31,0.11
4/17/04,37,48,0,10,27,0.06
4/18/04,37,48,0,12,30,0.02
4/19/04,37,48,0,13,30,0
4/20/04,37,48,0,11,29,0
4/21/04,37,48,0,15,31,0.03
4/22/04,37,48,0,15.5,34,0.07
4/23/04,37,48,0,11,33,0.12
4/24/04,37,48,0,15,31,0.19
4/25/04,37,48,0,15,35,0.27
4/26/04,37,48,0,17,26,0.36
4/27/04,37,48,16.3,14,29,0.45
4/28/04,37,48,0,7,24,0.55
4/29/04,37,48,0,11,28,0.65
4/30/04,37,48,0,15,29,0.74
5/1/04,37,48,1.8,20,30,0.83
5/2/04,37,48,1,20,27,0.91
5/3/04,37,48,26.6,15,29,0.96
5/4/04,37,48,0,7,22,0.99
5/5/04,37,48,0,10,27,1
5/6/04,37,48,0,15,30,0.97
5/7/04,37,48,0,11,33,0.92
5/8/04,37,48,0,11,37,0.84
5/9/04,37,48,0,18,36,0.75
5/10/04,37,48,0,14,35,0.64
5/11/04,37,48,0,17,30,0.53
5/12/04,37,156,0.2,17,30,0.42
5/13/04,37,156,31.8,18,29,0.32
5/14/04,37,156,0,16,32,0.22
5/15/04,37,156,0,16,35,0.15
5/16/04,37,156,0,20,31,0.08
5/17/04,37,156,0,13,32,0.04
5/18/04,37,156,0,18,33,0.01
5/19/04,37,156,0,18,33,0
5/20/04,37,156,4.1,19,36,0.01
5/21/04,37,156,0,20,33,0.04
5/22/04,37,156,0,21,36,0.08
5/23/04,37,156,0.1,20,36,0.14
5/24/04,37,156,0,21,41,0.21
5/25/04,37,156,0,22,39,0.3
5/26/04,37,156,0,21,37,0.39
5/27/04,37,156,0,22,39,0.49
5/28/04,37,156,0,22,37,0.59
5/29/04,37,156,8,21,37,0.69
5/30/04,37,156,0,22,37,0.79
5/31/04,37,156,0,24,36,0.88
6/1/04,37,156,0,20,32,0.94
6/2/04,37,156,0.5,20,38,0.99
6/3/04,37,156,0,21,36,1
6/4/04,37,156,3.7,19,36,0.98
6/5/04,37,156,0,20,31,0.94
6/6/04,37,156,0,20,34,0.87
6/7/04,37,156,0,20,39,0.78
6/8/04,37,156,34.9,20,37,0.67
6/9/04,37,156,7.5,20,37,0.57
6/10/04,37,156,20.4,21,28,0.46
6/11/04,37,156,0,22,34,0.36
6/12/04,37,156,0,23,39,0.27
6/13/04,37,156,0,23,34,0.18
6/14/04,37,156,0.6,23,31,0.12
6/15/04,37,156,0.4,22,31,0.06
6/16/04,37,156,0.7,23,39,0.02
6/17/04,37,156,4,24,37,0
6/18/04,37,156,0,24,39,0
6/19/04,37,156,0,24,39,0.02
6/20/04,37,156,0,21,36,0.05
6/21/04,37,156,0,22,39,0.1
6/22/04,37,156,11,22,32,0.17
6/23/04,37,156,14.8,22,31,0.25
6/24/04,37,156,3.4,21,30,0.34
6/25/04,37,156,0,21,33,0.44
6/26/04,37,156,8.8,22,33,0.55
6/27/04,37,156,0.4,22,30,0.65
6/28/04,37,156,19.2,22,34,0.76
6/29/04,37,156,4.9,22,36,0.85
6/30/04,37,156,0,22,33,0.92
7/1/04,37,156,18.4,21,34,0.97
7/2/04,37,156,0.3,23,29,1
7/3/04,37,156,0,22,31,0.99
7/4/04,37,156,6.6,23,33,0.95
7/5/04,37,156,0,23,36,0.89
7/6/04,37,156,0,23,41,0.81
7/7/04,37,156,0,24,39,0.72
7/8/04,37,156,0,24,41,0.61
7/9/04,37,156,0,23,41,0.51
7/10/04,37,156,0,22.5,39,0.41
7/11/04,37,156,0,24,37,0.32
7/12/04,37,156,0,22,41,0.23
7/13/04,37,156,0,24,39,0.16
7/14/04,37,156,0,25,40,0.1
7/15/04,37,156,0,24,40,0.05
7/16/04,37,156,0,20,41,0.02
7/17/04,37,156,0,21,32,0
7/18/04,37,156,0,25,36,0.01
7/19/04,37,156,0,23,35,0.03
7/20/04,37,156,0,19,33,0.07
7/21/04,37,156,0,21,35,0.13
7/22/04,37,156,0,23,37,0.21
7/23/04,37,156,0,23,39,0.3
7/24/04,37,156,0,23,38,0.4
7/25/04,37,156,29,22,33,0.51
7/26/04,37,156,0,23,33,0.62
7/27/04,37,156,0.1,23,33,0.73
7/28/04,37,156,4.6,23,39,0.82
7/29/04,37,0,NA,NA,NA,0.91
7/30/04,37,0,NA,NA,NA,0.96
7/31/04,37,0,NA,NA,NA,0.99
8/1/04,37,0,NA,NA,NA,1
8/2/04,37,0,NA,NA,NA,0.97
8/3/04,37,0,NA,NA,NA,0.92
8/4/04,37,0,NA,NA,NA,0.85
8/5/04,37,0,NA,NA,NA,0.76
8/6/04,37,0,NA,NA,NA,0.67
8/7/04,37,0,NA,NA,NA,0.57
8/8/04,37,0,NA,NA,NA,0.47
8/9/04,37,0,NA,NA,NA,0.38
8/10/04,37,0,NA,NA,NA,0.29
8/11/04,37,0,NA,NA,NA,0.21
8/12/04,37,0,NA,NA,NA,0.14
8/13/04,37,0,NA,NA,NA,0.08
8/14/04,37,0,NA,NA,NA,0.04
8/15/04,37,0,NA,NA,NA,0.01
8/16/04,37,0,NA,NA,NA,0
8/17/04,37,0,NA,NA,NA,0.01
8/18/04,37,0,NA,NA,NA,0.05
8/19/04,37,0,NA,NA,NA,0.1
8/20/04,37,0,NA,NA,NA,0.18
8/21/04,37,0,NA,NA,NA,0.26
8/22/04,37,0,NA,NA,NA,0.37
8/23/04,37,0,NA,NA,NA,0.48
8/24/04,37,0,NA,NA,NA,0.59
