Date,Bay,Species
3/5/04,119,TACO
4/2/04,119,STOC
4/5/04,37,STOC
4/7/04,119,STOC
4/22/04,5148,DIPU
5/6/04,R,DIPU
5/9/04,R,DIPU
5/10/04,119,CECO
5/10/04,R,CECO
5/10/04,R,CECO
5/14/04,37,TACO
5/14/04,5148,TACO
5/14/04,R,TACO
5/14/04,R,TACO
5/15/04,5148,TACO
5/15/04,5148,TACO
5/15/04,5148,TACO
5/15/04,R,TACO
5/16/04,37,DIPU
5/16/04,R,TACO
5/17/04,R,CECO
5/17/04,37,TACO
5/18/04,5148,TACO
5/18/04,5148,TACO
5/18/04,5148,VIVA
5/19/04,37,STOC
5/19/04,37,TACO
5/19/04,5148,TACO
5/20/04,R,STOC
5/21/04,5148,CECO
5/21/04,119,STOC
5/21/04,119,TACO
5/21/04,R,TACO
5/21/04,5148,TACO
5/22/04,37,TACO
5/22/04,119,TACO
5/22/04,5148,TACO
5/22/04,5148,TACO
5/22/04,R,TACO
5/23/04,5148,TACO
5/24/04,5148,TACO
5/24/04,5148,TACO
5/25/04,R,TACO
5/25/04,5148,TACO
5/25/04,37,VIVA
5/26/04,119,TACO
5/26/04,37,VIVA
5/27/04,5148,CECO
5/30/04,119,CECO
6/1/04,119,CECO
6/1/04,119,TACO
6/1/04,5148,TACO
6/1/04,5148,TACO
6/3/04,119,CECO
6/6/04,119,TACO
6/6/04,R,TACO
6/6/04,5148,TACO
6/7/04,119,TACO
6/7/04,R,TACO
6/8/04,119,TACO
6/8/04,119,TACO
6/9/04,119,TACO
6/10/04,R,STOC
6/11/04,R,CECO
6/11/04,119,DIPU
6/11/04,5148,TACO
6/11/04,5148,TACO
6/12/04,5148,TACO
6/12/04,5148,TACO
6/12/04,37,VIVA
6/12/04,119,VIVA
6/14/04,119,TACO
6/15/04,119,CECO
6/17/04,R,TACO
6/18/04,5148,CECO
6/18/04,5148,VIVA
6/19/04,5148,CECO
6/19/04,5148,STOC
6/20/04,5148,CECO
6/20/04,5148,TACO
6/21/04,5148,TACO
6/21/04,119,TACO
6/23/04,R,TACO
6/25/04,5148,STOC
6/27/04,119,DIPU
6/29/04,119,TACO
6/30/04,R,CECO
7/2/04,37,STOC
7/4/04,119,TACO
7/5/04,5148,TACO
7/6/04,R,TACO
7/6/04,R,TACO
7/7/04,37,TACO
7/7/04,37,VIVA
7/7/04,5148,VIVA
7/7/04,5148,VIVA
7/8/04,5148,CECO
7/8/04,119,TACO
7/8/04,R,TACO
7/9/04,5148,CECO
7/9/04,5148,TACO
7/9/04,5148,TACO
7/9/04,R,TACO
7/10/04,5148,TACO
7/10/04,R,TACO
7/10/04,R,TACO
7/11/04,119,CECO
7/11/04,R,STOC
7/11/04,119,TACO
7/11/04,37,TACO
7/11/04,119,TACO
7/12/04,37,STOC
7/12/04,R,TACO
7/13/04,R,CECO
7/13/04,5148,STOC
7/13/04,119,TACO
7/13/04,119,TACO
7/13/04,5148,TACO
7/14/04,119,TACO
7/15/04,5148,TACO
7/15/04,119,TACO
7/15/04,119,TACO
7/15/04,37,VIVA
7/15/04,119,VIVA
7/16/04,119,CECO
7/17/04,119,TACO
7/18/04,119,TACO
7/18/04,R,TACO
7/19/04,119,TACO
7/19/04,5148,TACO
7/19/04,R,TACO
7/20/04,37,TACO
7/20/04,119,TACO
7/20/04,119,VIVA
7/21/04,5148,TACO
7/21/04,R,TACO
7/21/04,R,TACO
7/22/04,R,CECO
7/22/04,R,DIPU
7/22/04,R,STOC
7/22/04,37,TACO
7/22/04,37,TACO
7/22/04,R,TACO
7/22/04,R,TACO
7/22/04,R,VIVA
7/23/04,119,TACO
7/23/04,119,TACO
7/23/04,119,TACO
7/23/04,R,TACO
7/23/04,R,TACO
7/23/04,R,TACO
7/23/04,119,TACO
7/23/04,R,TACO
7/23/04,5148,VIVA
7/24/04,5148,STOC
7/24/04,37,TACO
7/24/04,119,TACO
7/24/04,119,TACO
7/24/04,5148,TACO
7/26/04,R,TACO
7/27/04,37,TACO
7/27/04,5148,TACO
7/27/04,37,VIVA
7/28/04,5148,TACO
9/15/04,R,STOC
9/15/04,5148,TACO
9/15/04,R,TACO
9/15/04,R,TACO
9/15/04,5148,TACO
9/15/04,R,TACO
9/16/04,5148,TACO
9/16/04,R,TACO
9/17/04,5148,TACO
9/17/04,R,TACO
9/18/04,5148,STOC
9/18/04,37,TACO
9/19/04,5148,TACO
9/19/04,5148,TACO
9/19/04,5148,TACO
9/19/04,R,TACO
9/19/04,R,TACO
9/19/04,5148,VIVA
9/21/04,37,TACO
9/21/04,5148,TACO
9/21/04,5148,TACO
9/22/04,5148,TACO
9/22/04,R,TACO
9/22/04,119,TACO
9/22/04,37,VIVA
9/22/04,5148,VIVA
9/23/04,37,TACO
9/23/04,R,TACO
9/24/04,37,TACO
9/24/04,119,TACO
9/24/04,5148,TACO
9/24/04,R,TACO
9/24/04,119,TACO
9/26/04,5148,TACO
9/26/04,R,TACO
9/26/04,R,TACO
9/27/04,5148,TACO
9/29/04,119,TACO
9/29/04,R,TACO
9/29/04,R,TACO
9/29/04,R,TACO
9/29/04,119,TACO
9/29/04,R,TACO
9/29/04,119,VIVA
9/30/04,119,STOC
9/30/04,119,TACO
9/30/04,5148,TACO
9/30/04,5148,TACO
9/30/04,R,TACO
9/30/04,R,VIVA
10/1/04,5148,STOC
10/1/04,37,TACO
10/1/04,5148,TACO
10/1/04,5148,VIVA
10/1/04,5148,VIVA
10/2/04,R,TACO
10/3/04,5148,TACO
10/3/04,R,TACO
10/4/04,37,STOC
10/4/04,119,STOC
10/4/04,119,TACO
10/4/04,119,TACO
10/4/04,5148,VIVA
10/4/04,5148,VIVA
10/4/04,R,VIVA
10/5/04,R,TACO
10/6/04,119,TACO
10/6/04,119,TACO
10/6/04,5148,TACO
10/6/04,37,TACO
10/6/04,37,VIVA
10/6/04,37,VIVA
10/7/04,R,TACO
10/7/04,119,VIVA
10/9/04,R,TACO
10/10/04,5148,TACO
10/10/04,5148,TACO
10/11/04,119,TACO
10/11/04,5148,TACO
10/11/04,5148,TACO
10/12/04,119,TACO
10/12/04,119,TACO
10/12/04,R,TACO
10/12/04,R,TACO
10/13/04,37,TACO
10/13/04,37,TACO
10/13/04,119,TACO
10/13/04,119,TACO
10/13/04,R,TACO
10/14/04,R,TACO
10/15/04,119,VIVA
10/16/04,5148,TACO
10/18/04,37,VIVA
10/19/04,5148,TACO
10/19/04,R,TACO
10/19/04,37,VIVA
10/20/04,37,TACO
10/20/04,119,TACO
10/21/04,R,DIPU
10/21/04,5148,VIVA
10/22/04,119,VIVA
10/26/04,119,TACO
10/28/04,119,TACO
10/28/04,5148,TACO
10/28/04,R,TACO
10/29/04,R,TACO
11/4/04,5148,STOC
11/4/04,119,TACO
11/4/04,119,TACO
11/4/04,5148,TACO
11/4/04,119,VIVA
11/13/04,R,STOC
11/21/04,5148,STOC
11/21/04,37,TACO
11/21/04,R,TACO
11/24/04,R,TACO
12/1/04,5148,STOC
12/1/04,37,VIVA
12/9/04,37,TACO
1/12/05,119,STOC
3/27/05,119,STOC
3/31/05,37,TACO
3/31/05,37,VIVA
4/23/05,5148,DIPU
4/23/05,119,STOC
5/1/05,R,TACO
5/4/05,R,TACO
5/8/05,37,VIST
5/8/05,R,VIVA
5/10/05,119,CECO
5/10/05,119,TACO
5/10/05,119,TACO
5/10/05,R,TACO
5/10/05,R,TACO
5/10/05,5148,VIVA
5/10/05,5148,VIVA
5/11/05,119,TACO
5/12/05,37,TACO
5/14/05,119,TACO
5/14/05,R,TACO
5/14/05,37,TACO
5/14/05,37,TACO
5/14/05,119,VIVA
5/14/05,119,TACO
5/16/05,5148,DIPU
5/16/05,37,TACO
5/16/05,37,VIVA
5/16/05,119,VIVA
5/17/05,5148,TACO
5/24/05,37,TACO
5/24/05,119,TACO
5/28/05,5148,DIPU
5/28/05,37,TACO
5/28/05,R,TACO
5/28/05,R,TACO
5/28/05,37,VIVA
5/28/05,5148,VIVA
5/30/05,119,TACO
5/30/05,119,TACO
5/30/05,119,TACO
5/30/05,5148,TACO
5/30/05,R,TACO
5/30/05,37,TACO
6/1/05,119,TACO
6/1/05,R,TACO
6/7/05,5148,CECO
6/15/05,119,TACO
6/15/05,119,TACO
6/15/05,5148,TACO
6/15/05,5148,TACO
6/15/05,5148,VIVA
6/16/05,37,TACO
6/16/05,119,TACO
6/16/05,5148,TACO
6/16/05,5148,TACO
6/16/05,R,VIVA
6/17/05,5148,TACO
6/17/05,119,VIVA
6/18/05,119,STOC
6/18/05,119,TACO
6/18/05,119,TACO
6/18/05,5148,TACO
6/18/05,5148,TACO
6/18/05,5148,TACO
6/20/05,119,TACO
6/20/05,119,TACO
6/20/05,5148,TACO
6/22/05,119,DIPU
6/22/05,5148,TACO
6/22/05,5148,TACO
6/22/05,5148,TACO
6/22/05,5148,TACO
6/23/05,119,TACO
6/23/05,119,TACO
6/23/05,5148,TACO
6/23/05,5148,TACO
6/23/05,R,TACO
6/23/05,5148,TACO
6/23/05,119,VIVA
6/24/05,119,TACO
6/24/05,119,TACO
6/24/05,119,TACO
6/24/05,5148,TACO
6/24/05,5148,TACO
6/26/05,37,TACO
6/26/05,119,TACO
6/26/05,R,TACO
6/27/05,37,DIPU
6/27/05,119,TACO
6/27/05,5148,TACO
6/30/05,119,TACO
6/30/05,5148,TACO
7/2/05,119,TACO
7/2/05,119,TACO
7/2/05,5148,TACO
7/2/05,5148,TACO
7/2/05,R,VIVA
7/3/05,37,TACO
7/3/05,119,TACO
7/7/05,119,CECO
7/7/05,R,TACO
7/7/05,R,TACO
7/9/05,37,TACO
7/9/05,119,TACO
7/9/05,5148,TACO
7/9/05,5148,TACO
7/9/05,R,TACO
7/11/05,37,TACO
7/11/05,5148,TACO
7/11/05,5148,TACO
7/11/05,5148,TACO
7/13/05,37,TACO
7/13/05,37,TACO
7/13/05,5148,TACO
7/13/05,5148,TACO
7/13/05,5148,TACO
7/13/05,5148,TACO
7/13/05,5148,TACO
7/13/05,R,TACO
7/13/05,R,TACO
7/13/05,37,TACO
7/16/05,5148,TACO
7/18/05,37,TACO
7/18/05,37,TACO
7/18/05,5148,TACO
7/18/05,5148,TACO
7/18/05,5148,TACO
7/18/05,5148,TACO
7/18/05,R,TACO
7/18/05,5148,TACO
7/19/05,5148,TACO
7/19/05,R,TACO
7/21/05,37,STOC
7/21/05,37,TACO
7/23/05,37,TACO
7/23/05,R,TACO
7/23/05,R,TACO
7/25/05,37,STOC
7/25/05,5148,TACO
7/25/05,5148,TACO
7/25/05,5148,TACO
7/25/05,5148,TACO
7/25/05,5148,TACO
7/25/05,R,TACO
7/25/05,R,TACO
7/25/05,R,TACO
7/25/05,R,TACO
7/25/05,5148,VIVA
7/27/05,5148,TACO
7/27/05,R,TACO
7/27/05,5148,TACO
7/29/05,119,CECO
7/29/05,119,TACO
7/29/05,5148,TACO
7/29/05,5148,TACO
7/29/05,5148,TACO
7/29/05,5148,TACO
7/29/05,R,TACO
7/29/05,5148,TACO
7/29/05,5148,VIVA
10/8/05,119,STOC
1/14/06,37,TACO
3/10/06,37,VIVA
4/1/06,119,DIPU
4/5/06,119,DIPU
4/5/06,37,DIPU
4/11/06,5148,VIVA
4/15/06,119,TACO
4/17/06,119,DIPU
4/17/06,37,VIST
4/19/06,119,CECO
4/19/06,5148,VIVA
4/21/06,R,DIPU
4/21/06,R,TACO
4/23/06,5148,TACO
4/23/06,37,TACO
4/25/06,R,TACO
4/27/06,5148,TACO
4/27/06,119,TACO
4/27/06,37,TACO
5/1/06,119,TACO
5/4/06,119,DIPU
5/4/06,119,TACO
5/5/06,R,TACO
5/5/06,R,TACO
5/5/06,R,TACO
5/5/06,119,TACO
5/6/06,R,TACO
