Date,Bay,Buckets,CoffeeCan,SnakeTraps,Precip,Tmin,Tmax,LunarBright,SnakeTrapComments,DayOnly,WeatherComments
2/1/03,eBay,82,42,0,0,3.888888889,8.888888889,0,None,0,JAN 31 BUSH FIELD TEMP DATA
2/2/03,eBay,82,42,0,0,15.55555556,17.77777778,0.01,None,0,FEB 1 BUSH FIELD TEMP DATA
2/3/03,eBay,82,42,0,0,-0.555555556,21.11111111,0.03,None,0,FEB 2 BUSH FIELD TEMP DATA
2/4/03,eBay,82,42,0,2.8,0.555555556,22.22222222,0.08,None,0,FEB 3 BUSH FIELD TEMP DATA
2/5/03,eBay,82,42,0,0,-4.444444444,23.33333333,0.14,None,0,
2/6/03,eBay,82,42,0,0,-3.333333333,14.44444444,0.21,None,0,LIGHT RAIN FALLING
2/7/03,eBay,82,42,0,18.6,1.666666667,14.44444444,0.29,None,0,THERMOMETER NOT SET YESTERDAY
2/8/03,eBay,82,42,0,0,3.333333333,8.333333333,0.38,None,0,FEB 7 BUSH FIELD TEMP DATA
2/9/03,eBay,82,42,0,0,0.555555556,10.55555556,0.48,None,0,FEB 8 BUSH FIELD TEMP DATA
2/10/03,eBay,82,42,0,10,-1.111111111,16.66666667,0.57,None,0,
2/11/03,eBay,82,42,0,0.2,-4.444444444,14.44444444,0.67,None,0,
2/12/03,eBay,82,42,0,0,-2.777777778,17.77777778,0.75,None,0,
2/13/03,eBay,82,42,0,0,5,18.33333333,0.84,None,0,FEB 12 BUSH FIELD TEMP DATA
2/14/03,eBay,82,42,0,0,-0.555555556,17.77777778,0.91,None,0,FEB 13 BUSH FIELD TEMP DATA
2/15/03,eBay,82,42,0,0,-1.111111111,14.44444444,0.96,None,0,FEB 14 BUSH FIELD TEMP DATA
2/16/03,eBay,82,42,0,39.8,5,25,0.99,None,0,FEB 15 BUSH FIELD TEMP DATA
2/17/03,eBay,82,42,0,8.7,1.111111111,15,1,None,0,FEB 16 BUSH FIELD TEMP DATA
2/18/03,eBay,82,42,0,0,-0.555555556,3.333333333,0.98,None,0,FEB 17 BUSH FIELD TEMP DATA
2/19/03,eBay,82,42,0,,0.555555556,12.77777778,0.93,None,0,FEB 18 BUSH FIELD TEMP DATA
2/20/03,eBay,82,42,0,,-1.666666667,14.44444444,0.86,None,0,FEB 19 BUSH FIELD TEMP DATA
2/21/03,eBay,82,42,0,,2.222222222,19.44444444,0.77,None,0,FEB 20 BUSH FIELD TEMP DATA
2/22/03,eBay,82,42,0,44,8.888888889,16.11111111,0.67,None,0,FEB 21 BUSH FIELD TEMP DATA
2/23/03,eBay,82,42,0,30.4,13.33333333,21.11111111,0.56,None,0,"SUNNY DAY, FEB 22 BUSH FIELD TEMP DATA"
2/24/03,eBay,82,42,0,1,1.666666667,16.66666667,0.44,None,0,FEB 23 BUSH FIELD TEMP DATA
2/25/03,eBay,82,42,0,,-1.111111111,21.66666667,0.34,None,0,FEB 24 BUSH FIELD TEMP DATA
2/26/03,eBay,82,42,0,,5.555555556,21.11111111,0.24,None,0,FEB 25 BUSH FIELD TEMP DATA
2/27/03,eBay,82,42,40,,5.555555556,11.11111111,0.15,All,0,FEB 26 BUSH FIELD TEMP DATA
2/28/03,eBay,82,42,40,20.5,3.333333333,5.555555556,0.09,All,0,"water level not checked - not sure what this means, FEB 27 BUSH FIELD DATA"
3/1/03,eBay,82,42,40,58,2.777777778,13.88888889,0.04,All,0,"STILL RAINING, FEB 28TH BUSH FIELD TEMP DATA"
3/2/03,eBay,82,42,40,18.2,3.888888889,10,0.01,All,0,MAR 1 BUSH FIELD TEMP DATA
3/3/03,eBay,82,42,40,,8.888888889,18.88888889,0,All,0,MAR 2 BUSH FIELD TEMP DATA
3/4/03,eBay,82,42,40,0,1.111111111,16.11111111,0.01,All,0,MAR 3 BUSH FIELD TEMP DATA
3/5/03,eBay,82,42,40,1.4,7.777777778,16.66666667,0.04,All,0,MAR 4 BUSH FIELD TEMP DATA
3/6/03,eBay,82,42,40,11.8,12.22222222,21.11111111,0.09,All,0,MAR 5 BUSH FIELD TEMP DATA
3/7/03,eBay,82,42,40,15.4,13.88888889,21.66666667,0.15,All,0,MAR 6 BUSH FIELD TEMP DATA
3/8/03,eBay,82,42,40,0.6,5.555555556,13.88888889,0.22,All,0,MAR 7 BUSH FIELD TEMP DATA
3/9/03,eBay,82,42,40,0,5.555555556,17.22222222,0.31,All,0,MAR 8 BUSH FIELD TEMP DATA
