Date,Time,TT,"Species
",#,Comments/Observations
2-Mar-03,1645,S,fasciata,1,
5-Mar-03,1400,S,sauritus,1,
5-Mar-03,1730,S,piscivorus,1,
6-Mar-03,1045,S,piscivorus,1,
6-Mar-03,1045,S,piscivorus,1,
10-Mar-03,1030,S,fasciata,1,
10-Mar-03,1715,S,piscivorus,1,
12-Mar-03,0730,S,fasciata,1,
13-Mar-03,1645,S,piscivorus,1,
13-Mar-03,1645,S,piscivorus,1,
14-Mar-03,0950,S,horridus,1,
14-Mar-03,0950,S,piscivorus,2,
19-Mar-03,1100,S,piscivorus,1,
19-Mar-03,1100,S,piscivorus,2,
20-Mar-03,1130,S,piscivorus,1,
20-Mar-03,1800,S,piscivorus,1,
21-Mar-03,1620,B,piscivorus,1,
21-Mar-03,1620,S,piscivorus,1,
23-Mar-03,1210,S,erytrogramma,1,YEAH!
25-Mar-03,1045,B,piscivorus,1,
25-Mar-03,1545,S,piscivorus,1,
25-Mar-03,1045,S,erythrogaster,1,
25-Mar-03,1045,S,constrictor,1,
26-Mar-03,1045,S,constrictor,1,
26-Mar-03,1610,S,constrictor,1,
27-Mar-03,1730,S,piscivorus,1,
27-Mar-03,1730,S,constrictor,1,
28-Mar-03,1015,S,constrictor,1,
28-Mar-03,1625,S,constrictor,1,
29-Mar-03,0800,B,erytrogramma,1,
29-Mar-03,0800,S,erytrogramma,1,
29-Mar-03,1730,S,piscivorus,1,
29-Mar-03,1730,S,constrictor,1,
29-Mar-03,1730,S,constrictor,1,
29-Mar-03,1730,S,constrictor,2,BIT MY FACE
30-Mar-03,1030,S,piscivorus,1,
1-Apr-03,1230,S,fasciata,1,
3-Apr-03,1730,S,fasciata,1,
3-Apr-03,1730,S,platirhinos,1,"MELANISTIC, PRETTY"
5-Apr-03,1700,B,piscivorus,1,HEAD IN BUCKET
6-Apr-03,1800,S,platirhinos,1,
6-Apr-03,1800,S,piscivorus,1,
13-Apr-03,1900,S,piscivorus,1,
14-Apr-03,1634,C,constrictor,1,COMING OUT OF C
15-Apr-03,0915,B,floridana,1,
15-Apr-03,0915,S,abacura,1,
15-Apr-03,1730,S,constrictor,1,
15-Apr-03,1730,S,constrictor,1,
16-Apr-03,1630,S,constrictor,2,
17-Apr-03,0915,S,erytrogramma,1,
17-Apr-03,1720,S,piscivorus,1,
17-Apr-03,0915,S,sirtalis,1,
17-Apr-03,1720,S,constrictor,1,
18-Apr-03,1115,B,sirtalis,1,
18-Apr-03,1115,S,constrictor,1,
19-Apr-03,0900,S,diadophis,1,
21-Apr-03,1700,S,sirtalis,1,
21-Apr-03,1700,S,constrictor,1,
22-Apr-03,1700,S,constrictor,1,COVERED IN MAGGETS
24-Apr-03,1714,S,constrictor,1,
24-Apr-03,1714,S,constrictor,1,
26-Apr-03,1715,S,constrictor,1,
26-Apr-03,1715,S,constrictor,1,
26-Apr-03,1715,S,constrictor,1,
26-Apr-03,1715,S,constrictor,1,
27-Apr-03,0945,S,erythrogaster,1,
27-Apr-03,1710,S,constrictor,1,
27-Apr-03,1710,S,constrictor,1,
28-Apr-03,0940,S,piscivorus,1,JUV
28-Apr-03,1745,S,constrictor,1,
30-Apr-03,1045,S,erythrogaster,1,
30-Apr-03,1900,S,constrictor,1,
1-May-03,1715,B,constrictor,1,
2-May-03,1050,S,constrictor,1,
